"question","answer","title","context"
"新たに語（単語）を造ることや、既存の語を組み合わせて新たな意味の語を造ること","造語","造語","造語 [SEP] 造語（ぞうご）は、新たに語（単語）を造ることや、既存の語を組み合わせて新たな意味の語を造ること、また、そうして造られた語である。新たに造られた語については、新語または新造語とも呼ばれる。"
"聖武天皇の尊号は。","天璽国押開豊桜彦天皇","聖武天皇","聖武天皇 [SEP] 諱は首（おびと）。 尊号（諡号）を天璽国押開豊桜彦天皇、勝宝感神聖武皇帝、沙弥勝満とも言う。文武天皇の第一皇子。母は藤原不比等の娘・宮子。"
"コンピュータを使用したデータベース・システムでは、データベース管理用のソフトウェアである何を使用する場合が多い？","データベース管理システム","データベース","データベース [SEP] 通常はコンピュータによって実現されたものを指す。コンピュータを使用したデータベース・システムでは、データベース管理用のソフトウェアであるデータベース管理システムを使用する場合も多い。プログラムで扱うデータ構造やデータそのものを独自実装の場合に比べて少ない工数で操作できるようにしている。膨大なデータを扱う技術である。"
"世間一般に通用している語は？","通称","通称","通称 [SEP] 通称（つうしょう）は、正式な名称ではないが、特定の人や物、事象に対する呼び名として世間一般において通用している語のことである。別名（べつめい）とも、俗称（ぞくしょう）ともいう。"
"坂本 龍一の出身地は？","東京都","坂本龍一","坂本龍一 [SEP] 坂本 龍一（さかもと りゅういち、Sakamoto Ryūichi、1952年1月17日 - ）は、日本のミュージシャン、作曲家、編曲家、作詞家、音楽プロデューサー、音楽評論家、指揮者、タレント、俳優、政治活動家。東京都出身。"
"日本プロ野球の略は？","NPB","リリーフ","リリーフ [SEP] リリーフ投手は、試合途中にブルペンで投球練習を行い、あらかじめ出番に備えたうえで登板する。チームによってベンチ入り登録されるリリーフ投手の人数は異なるが、日本プロ野球（以下NPB）の場合は6 - 8人ほどである。シーズンあたりの試合数が160試合以上になり、また原則として引き分けもないため長時間の試合になりやすいメジャーリーグベースボール（以下MLB）の場合は10人ほどがベンチ入りしている。先発投手が先発ローテーションに従い中4日以上の間隔を空けて登板するのに対し、リリーフ投手は数試合連続登板することも多い（登板記録に関しては登板#登板に関する記録を参照）。"
"CGを合成することによる効果を何と呼ぶ？","VFX","コンピュータグラフィックス","コンピュータグラフィックス [SEP] 表現手段としてのCGは、鮮やかな色彩、編集の容易さ、非現実的な映像などを提供することができる。映画、アニメ、テレビコマーシャル、イラストレーション、漫画などの画像・映像コンテンツ制作や、ゲーム、バーチャル・リアリティなどのインタラクティブコンテンツ制作に用いられる一般的な手段として定着している。実写による映像表現においても、CGを合成することによる効果（VFX）を加えることがある。"
"ここで取りあげられるアイドルは過去どの芸能事務所に所属していたか。","ジャニーズ事務所","過去のジャニーズ所属者","過去のジャニーズ所属者 [SEP] 過去のジャニーズ所属者（かこのジャニーズしょぞくしゃ）では、過去にジャニーズ事務所に所属したアイドルを取り挙げる。"
"英語でRight fielderということから日本ではライトと呼ばれる野球の守備はどこ？","右翼手","右翼手","右翼手 [SEP] 中堅手の隣、一塁手・二塁手の後方に位置する。守備番号は9。英略字はRF（Right fielderから）。日本ではライトとも呼ばれる。"
"カナダで使用されている英語は何","カナダ英語","カナダ英語","カナダ英語 [SEP] カナダ英語（ 略語 ）は、カナダで使用されている英語のひとつである。アメリカ英語と語彙を共有しつつ、イギリス英語の用語を持つ。カナダの綴りは、イギリス英語とアメリカ英語の要素で構成される。カナダ英語にだけ存在する表現もあり、フランス語の影響を多くの分野で受け、地域によって多様性がある。"
